County,County Party Affiliation ,Votes Cast for President Total,Votes Cast for President Democratic,Votes Cast for President Republican,Votes Cast for President Other Candidate,Percent Voted Democrat,Percent Voted Republican
ADAMS,Republican,42457,15091,26767,599,35.54419766,63.04496314
ALLEGHENY,Democratic,622081,352687,262039,7355,56.69470696,42.12297112
ARMSTRONG,Republican,29602,9045,20142,415,30.55536788,68.04269982
BEAVER,Republican,80474,37055,42344,1075,46.04592788,52.61823695
BEDFORD,Republican,21697,4788,16702,207,22.06756694,76.97838411
BERKS,Republican,170320,83011,84702,2607,48.7382574,49.73109441
BLAIR,Republican,50241,16276,33319,646,32.39585199,66.31834557
BRADFORD,Republican,23426,8624,14410,392,36.81379664,61.51284897
BUCKS,Democratic,321016,160521,156579,3916,50.00404964,48.77607347
BUTLER,Republican,89445,28550,59761,1134,31.9190564,66.81312538
CAMBRIA,Republican,60526,24249,35163,1114,40.06377425,58.09569441
CAMERON,Republican,2111,724,1359,28,34.29654192,64.37707248
CARBON,Republican,25581,11580,13504,497,45.26797232,52.78917947
CENTRE,Democratic,69626,34176,34001,1449,49.08511188,48.83376899
CHESTER,Republican,251973,124311,124840,2822,49.3350478,49.54499093
CLARION,Republican,16186,5056,10828,302,31.23687137,66.89731867
CLEARFIELD,Republican,31967,11121,20347,499,34.78900116,63.65001408
CLINTON,Republican,13265,5734,7303,228,43.226536,55.05465511
COLUMBIA,Republican,25623,10937,14236,450,42.68430707,55.5594583
CRAWFORD,Republican,35388,13883,20901,604,39.2308127,59.06239403
CUMBERLAND,Republican,110814,44367,64809,1638,40.0373599,58.48448752
DAUPHIN,Democratic,124008,64965,57450,1593,52.38774918,46.32765628
DELAWARE,Democratic,285564,171792,110853,2919,60.15884355,38.81896878
ELK,Republican,13238,5463,7579,196,41.26756308,57.25185073
ERIE,Democratic,118619,68036,49025,1558,57.35674723,41.32980383
FAYETTE,Republican,48505,21971,26018,516,45.2963612,53.63983095
FOREST,Republican,2312,896,1383,33,38.75432526,59.8183391
FRANKLIN,Republican,63078,18995,43260,823,30.11351026,68.58175592
FULTON,Republican,6195,1310,4814,71,21.14608555,77.70782889
GREENE,Republican,14464,5852,8428,184,40.4590708,58.26880531
HUNTINGDON,Republican,17639,5409,11979,251,30.66500369,67.91201315
INDIANA,Republican,36321,14473,21257,591,39.84747116,58.525371
JEFFERSON,Republican,18097,4787,13048,262,26.4518981,72.10034812
JUNIATA,Republican,9535,2547,6862,126,26.71211327,71.96643943
LACKAWANNA,Democratic,98015,61838,35085,1092,63.09034331,35.7955415
LANCASTER,Republican,222436,88481,130669,3286,39.77818339,58.74453775
LAWRENCE,Republican,39036,17513,21047,476,44.86371554,53.91689722
LEBANON,Republican,56580,19900,35872,808,35.17143867,63.40049487
LEHIGH,Democratic,147002,78283,66874,1845,53.25301697,45.49189807
LUZERNE,Democratic,124439,64307,58325,1807,51.67752875,46.87035415
LYCOMING,Republican,46493,15203,30658,632,32.69954617,65.94110941
McKEAN,Republican,15108,5297,9545,266,35.06089489,63.1784485
MERCER,Republican,50863,24232,25925,706,47.64170419,50.97025343
MIFFLIN,Republican,16371,4273,11939,159,26.10103231,72.92773807
MONROE,Democratic,62917,35221,26867,829,55.98010077,42.70229032
MONTGOMERY,Democratic,412200,233356,174381,4463,56.61232411,42.30494905
MONTOUR,Republican,7831,3053,4652,126,38.98608096,59.40492913
NORTHAMPTON,Democratic,130735,67606,61446,1683,51.71224232,47.0004207
NORTHUMBERLAND,Republican,33212,13072,19518,622,39.35926773,58.76791521
PERRY,Republican,19128,5685,13120,323,29.72082811,68.59054789
PHILADELPHIA,Democratic,690327,588806,96467,5054,85.29378106,13.97410213
PIKE,Republican,23279,10210,12786,283,43.85927231,54.92503974
POTTER,Republican,7242,1897,5231,114,26.19442143,72.23142778
SCHUYLKILL,Republican,57727,24546,32278,903,42.52083081,55.91490983
SNYDER,Republican,15002,4687,10073,242,31.242501,67.14438075
SOMERSET,Republican,33942,9436,23984,522,27.80036533,70.66171705
SULLIVAN,Republican,2949,1034,1868,47,35.06273313,63.34350627
SUSQUEHANNA,Republican,18044,6935,10800,309,38.43382842,59.85369098
TIOGA,Republican,17004,5357,11342,305,31.50435192,66.70195248
UNION,Republican,16268,6109,9896,263,37.55224982,60.83107942
VENANGO,Republican,22167,7945,13815,407,35.84156629,62.32237109
WARREN,Republican,17299,6995,10010,294,40.43586334,57.86461645
WASHINGTON,Republican,94750,40345,53230,1175,42.58047493,56.17941953
WAYNE,Republican,21607,8396,12896,315,38.85777757,59.68436155
WESTMORELAND,Republican,169572,63722,103932,1918,37.5781379,61.29077914
WYOMING,Republican,11872,5061,6587,224,42.62971698,55.48349057
YORK,Republican,189229,73191,113304,2734,38.67853236,59.87665738
