County,County Party Affiliation ,Votes Cast for President Total,Votes Cast for President Democratic ,Votes Cast for President Republican,Votes Cast for President Other Candidate,Percent Voted Democrat,Percent Voted Republican,http://uselectionatlas.org/RESULTS/index.html
ADAMS,Republican,29501,9576,13552,6373,32.45991661,45.93742585,
ALLEGHENY,Democratic,614187,324004,183035,107148,52.75331454,29.80118433,
ARMSTRONG,Republican,28333,12995,9122,6216,45.86524547,32.19567289,
BEAVER,Democratic,82340,44877,21361,16102,54.50206461,25.94243381,
BEDFORD,Republican,18817,5840,9216,3761,31.03576553,48.97698889,
BERKS,Republican,131407,46031,52939,32437,35.02933634,40.28628612,
BLAIR,Republican,44758,14857,21447,8454,33.19406587,47.91769069,
BRADFORD,Republican,22628,6903,10221,5504,30.50645218,45.16970126,
BUCKS,Democratic,248507,97902,94584,56021,39.39607335,38.06089969,
BUTLER,Republican,61130,22303,23656,15171,36.48454114,38.69785703,
CAMBRIA,Democratic,66349,34334,20770,11245,51.74757721,31.30416434,
CAMERON,Republican,2678,824,1173,681,30.76923077,43.80134429,
CARBON,Democratic,21659,9072,7243,5344,41.88559029,33.44106376,
CENTRE,Democratic,51225,21177,20478,9570,41.34114202,39.97657394,
CHESTER,Republican,169208,59643,74002,35563,35.24833341,43.7343388,
CLARION,Republican,15718,5584,6477,3657,35.52614836,41.20753276,
CLEARFIELD,Democratic,30847,12247,11553,7047,39.70240218,37.45258858,
CLINTON,Democratic,12569,5397,4471,2701,42.93897685,35.57164452,
COLUMBIA,Republican,23739,8261,9742,5736,34.79927545,41.03795442,
CRAWFORD,Republican,34628,12813,14112,7703,37.00184822,40.75314774,
CUMBERLAND,Republican,84573,26635,43447,14491,31.49350265,51.37218734,
DAUPHIN,Republican,98910,36990,45479,16441,37.39763421,45.98018401,
DELAWARE,Democratic,266074,111210,108587,46277,41.79664304,40.81082706,
ELK,Democratic,13832,5016,4908,3908,36.26373626,35.48293811,
ERIE,Democratic,117804,56381,39283,22140,47.86000475,33.34606635,
FAYETTE,Democratic,53861,30577,12820,10464,56.77020479,23.80200887,
FOREST,Republican,2144,890,801,453,41.51119403,37.36007463,
FRANKLIN,Republican,43834,13440,23387,7007,30.66113063,53.35356116,
FULTON,Republican,5023,1588,2558,877,31.61457296,50.92574159,
GREENE,Democratic,15135,8438,3482,3215,55.75156921,23.00627684,
HUNTINGDON,Republican,15700,5153,7249,3298,32.82165605,46.17197452,
INDIANA,Democratic,33314,15194,10966,7154,45.6084529,32.91709191,
JEFFERSON,Republican,17711,5998,7271,4442,33.86595901,41.05358252,
JUNIATA,Republican,8420,2601,3980,1839,30.89073634,47.26840855,
LACKAWANNA,Democratic,94968,45054,33443,16471,47.44124337,35.2150198,
LANCASTER,Republican,160180,44255,88447,27478,27.62829317,55.21725559,
LAWRENCE,Democratic,41203,20830,12359,8014,50.55457127,29.99538869,
LEBANON,Republican,43021,12350,21512,9159,28.70691058,50.00348667,
LEHIGH,Democratic,114836,46711,42631,25494,40.67626877,37.12337594,
LUZERNE,Democratic,127146,56623,49285,21238,44.53384298,38.76252497,
LYCOMING,Republican,43172,13315,20536,9321,30.84174928,47.56786806,
McKEAN,Republican,16400,5331,6965,4104,32.50609756,42.4695122,
MERCER,Democratic,49836,23264,16081,10491,46.68111405,32.26783851,
MIFFLIN,Republican,14688,4946,6300,3442,33.67374728,42.89215686,
MONROE,Republican,37500,13468,14557,9475,35.91466667,38.81866667,
MONTGOMERY,Democratic,318576,136572,125704,56300,42.86951936,39.45808849,
MONTOUR,Republican,6646,2150,3096,1400,32.35028589,46.58441168,
NORTHAMPTON,Democratic,97525,42203,34429,20893,43.2740323,35.30274289,
NORTHUMBERLAND,Republican,35792,12814,15057,7921,35.80129638,42.0680599,
PERRY,Republican,15327,4086,7871,3370,26.65883735,51.35382006,
PHILADELPHIA,Democratic,638058,434904,133328,69826,68.16057474,20.89590601,
PIKE,Republican,13603,4382,6084,3137,32.21348232,44.72542821,
POTTER,Republican,7044,1892,3452,1700,26.85973878,49.00624645,
SCHUYLKILL,Republican,63029,23679,25780,13570,37.56842089,40.9018071,
SNYDER,Republican,12596,2952,6934,2710,23.43601143,55.04922198,
SOMERSET,Republican,32759,12493,13858,6408,38.13608474,42.3028786,
SULLIVAN,Republican,3113,1030,1340,743,33.08705429,43.04529393,
SUSQUEHANNA,Republican,16709,5368,7356,3985,32.12639895,44.02417859,
TIOGA,Republican,16543,4868,7823,3852,29.42634347,47.28888352,
UNION,Republican,12265,3623,6362,2280,29.53933958,51.87117815,
VENANGO,Republican,21554,8230,8545,4779,38.18316786,39.64461353,
WARREN,Democratic,18426,6972,6585,4869,37.83783784,35.73754477,
WASHINGTON,Democratic,84364,46143,21977,16244,54.69513062,26.05021099,
WAYNE,Republican,16822,4817,8184,3821,28.63512068,48.65057663,
WESTMORELAND,Democratic,154451,69817,47315,37319,45.2033331,30.63431121,
WYOMING,Republican,10850,3158,5143,2549,29.10599078,47.40092166,
YORK,Republican,134245,46113,60130,28002,34.34988268,44.7912399,
